PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,4/23/25,11:46.8,1,1,"Davis, Johnny",10001711,Right,FOR_RAM,"Ford, Tim",10108429,Right,FOR_RAM,Undefined,1,Top,0,0,0,Sinker,Changeup,InPlay,Undefined,Undefined,Undefined,0,0,,81.61214,-0.701377,-4.574679,,232.500297,1:45,5.31022,3.69199,5.8975,-29.35978,14.23261,16.11147,2.21032,0.77856,72.17247,-6.270151,-1.694036,0.4752,,,,,,,,,,,,-11.14749,8.06815,-3.33366,50.00021,5.2372,8.91546,-117.99263,-2.29434,-14.99712,31.98772,-21.31968,FOR_RAM,FOR_RAM,FordhamUniversity,TeamExclusive,Team,20250423-FordhamUniversity-Private-1,a8043220-205d-11f0-9806-db09406242ed,79.31906,,,9.43967,,,,,,,b6f18ef8-f89f-4031-be50-85544f5bcff9,4/23/25,11:46.8,2025-04-23T12:11:46.7860000-04:00,2025-04-23T16:11:46.7860000Z,,v3,471298,471298,,,,Undefined,FOR_RAM,e7e43d09-9510-48c1-8069-0525160eec7b,54.60741,-119.2351,15.99386,5.31024,-1.46625,-10.65984,-3.69126,9.49797,-7.49856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,Medium,Medium,,,,,
2,4/23/25,12:49.9,1,2,"Davis, Johnny",10001711,Right,FOR_RAM,"Chavez, Carson",10319485,Right,FOR_RAM,Undefined,1,Top,0,0,0,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,70.55097,1.303321,-3.853235,1928.340972,111.163265,9:45,5.43245,3.64587,5.6735,-49.53829,7.16804,-14.18548,2.52229,-1.13398,65.20308,-7.764985,-6.374812,0.541985,,,,,,,,,,,,6.15122,3.81449,-3.31136,50,5.51155,7.37055,-102.25171,0.91803,6.5235,16.59149,-28.12871,FOR_RAM,FOR_RAM,FordhamUniversity,TeamExclusive,Team,20250423-FordhamUniversity-Private-1,cdb84ba0-205d-11f0-9806-db09406242ed,69.54518,,,5.34789,,,,,,,b6f18ef8-f89f-4031-be50-85544f5bcff9,4/23/25,12:49.9,2025-04-23T12:12:49.9190000-04:00,2025-04-23T16:12:49.9190000Z,,v3,471298,471298,,,,Undefined,FOR_RAM,8bacc253-9b0d-4097-b40f-834779661c29,54.82476,-103.0316,8.29575,5.43732,2.24024,-14.06435,-3.65062,7.0639,3.26175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,4/23/25,13:03.2,1,3,"Davis, Johnny",10001711,Right,FOR_RAM,"Chavez, Carson",10319485,Right,FOR_RAM,Undefined,1,Top,0,1,0,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,70.15357,0.447143,-4.986182,2013.147519,104.960414,9:30,5.39544,3.56005,5.40815,-51.56688,6.80248,-18.80611,1.51874,-2.69057,64.87108,-8.899251,-8.301822,0.549875,,,,,,,,,,,,8.02056,3.8604,-3.10191,50,5.39965,9.50924,-101.46231,-0.72742,8.33151,17.14618,-28.164,FOR_RAM,FOR_RAM,FordhamUniversity,TeamExclusive,Team,20250423-FordhamUniversity-Private-1,d5c6d370-205d-11f0-9806-db09406242ed,68.5473,,,5.28249,,,,,,,b6f18ef8-f89f-4031-be50-85544f5bcff9,4/23/25,13:03.2,2025-04-23T12:13:03.1720000-04:00,2025-04-23T16:13:03.1720000Z,,v3,471298,471298,,,,Undefined,FOR_RAM,502252dd-6e04-481e-95b4-a02d68ee8655,55.09003,-102.31886,8.57309,5.40085,0.67953,-14.082,-3.56655,9.09303,4.16575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,4/23/25,13:18.2,1,4,"Davis, Johnny",10001711,Right,FOR_RAM,"Chavez, Carson",10319485,Right,FOR_RAM,Undefined,1,Top,0,2,0,Sinker,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,82.37341,-0.721037,-6.313277,1694.464788,238.655827,2:00,5.36673,3.54625,6.13627,-29.90376,11.59501,16.65965,2.20427,-0.92394,74.71251,-6.323963,-3.335554,0.463649,,,,,,,,,,,,-10.42749,6.63528,-3.07093,50,5.29606,12.51219,-118.92742,-2.38402,-14.82942,24.30314,-22.73771,FOR_RAM,FOR_RAM,FordhamUniversity,TeamExclusive,Team,20250423-FordhamUniversity-Private-1,de90bc00-205d-11f0-9806-db09406242ed,81.29525,,,7.6609,,,,,,,b6f18ef8-f89f-4031-be50-85544f5bcff9,4/23/25,13:18.2,2025-04-23T12:13:18.2380000-04:00,2025-04-23T16:13:18.2380000Z,,v3,471298,471298,,,,Undefined,FOR_RAM,5613844b-9449-4c01-952b-1fd55db83f60,54.36033,-119.81515,12.15157,5.36798,-1.55347,-11.36886,-3.53786,13.05387,-7.41471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,4/23/25,13:33.7,1,5,"Davis, Johnny",10001711,Right,FOR_RAM,"Chavez, Carson",10319485,Right,FOR_RAM,Undefined,1,Top,0,2,1,Sinker,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,81.06597,-0.364693,-4.077844,1697.269497,253.883825,2:30,5.4218,3.66153,6.08226,-35.70659,6.76855,18.56891,2.108,1.42994,74.00912,-7.004133,-0.739999,0.469071,,,,,,,,,,,,-10.72587,4.02524,-3.35571,50,5.37478,7.67675,-117.52521,-1.83938,-14.94453,23.06312,-26.56564,FOR_RAM,FOR_RAM,FordhamUniversity,TeamExclusive,Team,20250423-FordhamUniversity-Private-1,e7c83370-205d-11f0-9806-db09406242ed,80.35544,,,7.05686,,,,,,,b6f18ef8-f89f-4031-be50-85544f5bcff9,4/23/25,13:33.7,2025-04-23T12:13:33.6730000-04:00,2025-04-23T16:13:33.6730000Z,,v3,471298,471298,,,,Undefined,FOR_RAM,9c810139-1fb2-47c2-bbf3-b476cbe183f0,54.41628,-118.38869,11.53156,5.42503,-0.84477,-13.28282,-3.6536,8.23626,-7.47227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,4/23/25,13:48.7,1,6,"Davis, Johnny",10001711,Right,FOR_RAM,"Chavez, Carson",10319485,Right,FOR_RAM,Undefined,1,Top,0,3,1,Sinker,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,81.17498,-0.985722,-4.219765,1655.746794,260.931318,2:45,5.33225,3.70481,5.89404,-38.42904,4.43091,18.5554,1.21207,1.32623,73.96997,-8.085672,-0.894591,0.471191,,,,,,,,,,,,-10.72717,3.02288,-3.37502,50,5.23084,7.95061,-117.56918,-3.25835,-14.89828,23.90151,-27.97575,FOR_RAM,FOR_RAM,FordhamUniversity,TeamExclusive,Team,20250423-FordhamUniversity-Private-1,f0b18ae0-205d-11f0-9806-db09406242ed,79.99393,,,7.20501,,,,,,,b6f18ef8-f89f-4031-be50-85544f5bcff9,4/23/25,13:48.7,2025-04-23T12:13:48.6660000-04:00,2025-04-23T16:13:48.6660000Z,,v3,471298,471298,,,,Undefined,FOR_RAM,ed950886-4c38-40da-9cd8-550cdfb48577,54.60406,-118.50148,11.95075,5.33665,-2.16713,-13.98787,-3.69647,8.53173,-7.44914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,4/23/25,14:06.2,2,1,"Davis, Johnny",10001711,Right,FOR_RAM,"Chavez, Carson",10319485,Right,FOR_RAM,Undefined,1,Top,0,0,0,Slider,Curveball,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,70.61066,1.843183,-2.724921,2030.324641,103.453924,9:30,5.42701,3.66809,5.48999,-50.73515,6.54335,-19.83348,2.92591,-0.53574,64.80304,-7.447437,-6.245017,0.544712,,,,,,,,,,,,9.18516,3.32122,-3.41569,50,5.55456,5.5705,-102.3419,1.80505,9.69019,17.72372,-28.67021,FOR_RAM,FOR_RAM,FordhamUniversity,TeamExclusive,Team,20250423-FordhamUniversity-Private-1,fb6011f0-205d-11f0-9806-db09406242ed,69.19698,,,5.80762,,,,,,,b6f18ef8-f89f-4031-be50-85544f5bcff9,4/23/25,14:06.2,2025-04-23T12:14:06.2410000-04:00,2025-04-23T16:14:06.2410000Z,,v3,471298,471298,,,,Undefined,FOR_RAM,fe802536-ca5c-4ac8-bef9-580e949f2b8e,55.00808,-103.20556,8.86186,5.43256,3.20213,-14.33511,-3.67563,5.0983,4.8451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,4/23/25,14:26.7,2,2,"Davis, Johnny",10001711,Right,FOR_RAM,"Grabau, Anthony",1000407420,Left,FOR_RAM,Undefined,1,Top,0,0,1,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,70.46204,0.416986,-3.934332,1975.294774,101.555578,9:30,5.2676,3.62255,5.54831,-52.26621,5.66634,-18.16241,1.30267,-1.57327,64.51177,-9.126277,-7.156425,0.547813,,,,,,,,,,,,7.9341,3.32142,-3.26934,50,5.26957,7.64542,-101.97763,-0.77573,8.24031,18.91823,-28.72444,FOR_RAM,FOR_RAM,FordhamUniversity,TeamExclusive,Team,20250423-FordhamUniversity-Private-1,0775ca20-205e-11f0-9806-db09406242ed,68.80524,,,5.95027,,,,,,,b6f18ef8-f89f-4031-be50-85544f5bcff9,4/23/25,14:26.7,2025-04-23T12:14:26.6650000-04:00,2025-04-23T16:14:26.6650000Z,,v3,471298,471298,,,,Undefined,FOR_RAM,e7da8813-0044-4742-8fe3-23acaaaf5a3d,54.94904,-102.89164,9.45911,5.27352,0.61207,-14.36222,-3.62911,7.2473,4.12015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,4/23/25,14:40.6,2,3,"Davis, Johnny",10001711,Right,FOR_RAM,"Grabau, Anthony",1000407420,Left,FOR_RAM,Undefined,1,Top,0,1,1,Sinker,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,83.06294,-1.245824,-3.103718,1828.660708,242.87278,2:00,5.43352,3.61978,6.104,-29.2049,11.69694,19.86099,1.8458,2.40183,74.86175,-6.743899,0.473242,0.460302,,,,,,,,,,,,-11.20658,6.88874,-3.39101,50,5.32257,5.74299,-120.34763,-3.48586,-16.14547,27.20305,-22.24937,FOR_RAM,FOR_RAM,FordhamUniversity,TeamExclusive,Team,20250423-FordhamUniversity-Private-1,0fd271f0-205e-11f0-9806-db09406242ed,81.88635,,,8.20118,,,,,,,b6f18ef8-f89f-4031-be50-85544f5bcff9,4/23/25,14:40.6,2025-04-23T12:14:40.6310000-04:00,2025-04-23T16:14:40.6310000Z,,v3,471298,471298,,,,Undefined,FOR_RAM,72cbcddd-4e47-4ddd-9084-e21888926fb8,54.39196,-121.33632,13.60153,5.43456,-2.67721,-11.12469,-3.6104,6.32979,-8.07273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,4/23/25,14:54.6,2,4,"Davis, Johnny",10001711,Right,FOR_RAM,"Grabau, Anthony",1000407420,Left,FOR_RAM,Undefined,1,Top,0,2,1,Slider,Curveball,InPlay,Undefined,FlyBall,HomeRun,0,1,,69.72301,1.311069,-2.656423,1958.978531,115.551392,9:45,5.32096,3.79973,5.50146,-49.37479,9.73103,-16.14402,2.43416,-0.03189,63.55272,-7.770541,-5.524159,0.553333,,,,,,,,,,,,7.38469,5.03784,-3.55604,50,5.40253,5.23533,-101.00992,0.91395,7.52909,18.4751,-27.03769,FOR_RAM,FOR_RAM,FordhamUniversity,TeamExclusive,Team,20250423-FordhamUniversity-Private-1,180fd1f0-205e-11f0-9806-db09406242ed,68.11891,,,6.17029,,,,,,,b6f18ef8-f89f-4031-be50-85544f5bcff9,4/23/25,14:54.6,2025-04-23T12:14:54.6490000-04:00,2025-04-23T16:14:54.6490000Z,,v3,471298,471298,,,,Undefined,FOR_RAM,1d55e236-a8c5-4d10-958b-8c6d4f4a4530,54.99647,-101.91969,9.23755,5.32474,2.24538,-13.51885,-3.80471,4.86457,3.76455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,Medium,Medium,,,,,
